id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
1497,5BZQJ0603-1716 ,06 03 57.72,-17 16 28.19,318,0,0,2.711,5BZCAT
1498,5BZQJ0601-7036 ,06 01 11.18,-70 36 08.78,212,2.28e-11,0,2.409,5BZCAT
1499,5BZQJ0604+2429 ,06 04 55.12,+24 29 54.99,837,0,0,1.133,5BZCAT
1500,4FGLJ0604.9-0000 ,06 04 58.4,+00 00 43.3,35.1,6.15e-12,0,0,Fermi 4LAC
1501,5BZQJ0607+6720 ,06 07 52.67,+67 20 55.28,423,5.78e-12,0,1.97,5BZCAT
1502,4FGLJ0601.3-7238 ,06 01 41.32,-72 38 33.21,110,2.1e-12,0,0,Fermi 4LAC
1503,5BZBJ0604-4817 ,06 04 08.64,-48 17 25.4,32,3.48e-12,16.5,0,5BZCAT
1504,5BZQJ0604-4225 ,06 04 25.15,-42 25 30.1,253,0,0,0.611,5BZCAT
1505,3HSPJ060433.8-403754.7,06 04 33.78,-40 37 54.69,13.8,0,16.4,0.28,3HSP
1506,4FGLJ0606.9+4402 ,06 06 50.21,+44 01 40.79,148,1.08e-12,0,0,Fermi 4LAC
1507,4FGLJ0604.5-4851 ,06 04 33.0,-48 49 47.2,239,2.18e-12,0,0,Fermi 3LAC
1508,5BZBJ0607+4739 ,06 07 23.24,+47 39 46.9,381,2.54e-11,0,0,5BZCAT
1509,5BZQJ0606-0724 ,06 06 43.55,-07 24 30.2,214,0,0,1.277,5BZCAT
1510,5BZQJ0606-0024 ,06 06 57.42,-00 24 57.7,134,0,0,1.028,5BZCAT
1511,5BZBJ0607-2518 ,06 07 14.36,-25 18 59.5,12,1.09e-12,17.5,0.275,5BZCAT
1512,3HSPJ060635.7-472954.8,06 06 35.72,-47 29 54.81,286.3,3.6e-12,15,0.037,3HSP
1513,5BZQJ0607-0834 ,06 07 59.7,-08 34 50.01,1905,2.22e-11,0,0.87,5BZCAT
1514,3HSPJ061104.1+682956.6,06 11 04.12,+68 29 56.5,8.8,0,16.2,0.5,3HSP
1515,5BZUJ0608-1520 ,06 08 01.52,-15 20 36.99,279,1.32e-11,0,1.094,5BZCAT
1516,5BZBJ0609-0247 ,06 09 15.05,-02 47 54.6,62,7.88e-12,15.4,0,5BZCAT
1517,5BZQJ0608-2220 ,06 08 59.69,-22 20 20.9,678,2.94e-12,0,1.926,5BZCAT
1518,5BZQJ0609-0615 ,06 09 39.94,-06 15 05.79,101,0,0,2.219,5BZCAT
1519,4FGLJ0608.1-6028 ,06 07 55.08,-60 31 51.88,1400,5.15e-12,0,0,Fermi 4LAC
1520,5BZQJ0609-1542 ,06 09 40.93,-15 42 40.71,2742,0,0,0.324,5BZCAT
1521,3HSPJ061106.5+432357.3,06 11 06.59,+43 23 57.3,44.1,5.06e-12,16,0.28,3HSP
1522,4FGLJ0608.9-5456 ,06 08 49.06,-54 56 42.79,506.6,6.96e-12,0,0,Fermi 4LAC
1523,5BZBJ0613+7107 ,06 13 43.32,+71 07 26.61,25,0,0,0.267,5BZCAT
1524,5BZBJ0610-1847 ,06 10 17.88,-18 47 39.98,128,6.13e-12,0,0,5BZCAT
1525,5BZQJ0610-2301 ,06 10 38.79,-23 01 45.8,361,0,0,2.854,5BZCAT
1526, 3FGLJ0611.7+2759 ,06 11 43.87,+28 03 52.09,0,6.2e-12,0,0,Fermi 3LAC
1527,3HSPJ060736.4-742337.0,06 07 36.4,-74 23 36.99,29.9,0,16.2,0.48,3HSP
1528,5BZBJ0612+4122 ,06 12 51.18,+41 22 37.3,248,4.17e-11,0,0,5BZCAT
1529,4FGLJ0611.6-2712 ,06 11 46.07,-27 08 41.6,0,4.44e-12,0,0,Fermi 4LAC
1530,5BZQJ0614+6046 ,06 14 23.87,+60 46 21.68,1182,0,0,2.702,5BZCAT
1531,5BZQJ0610-6058 ,06 10 30.3,-60 58 38.09,350,3.51e-12,0,1.773,5BZCAT
1532,5BZQJ0617+7816 ,06 17 56.94,+78 16 07.28,157,1.84e-12,0,1.43,5BZCAT
1533,4FGLJ0614.8+6136 ,06 14 42.17,+61 39 08.2,99,2.62e-12,0,0,Fermi 4LAC
1534,5BZQJ0612-3138 ,06 12 29.64,-31 38 58.19,613,5.41e-12,0,0.873,5BZCAT
1535,5BZQJ0612-4337 ,06 12 28.61,-43 37 48.39,300,0,0,3.461,5BZCAT
1536,4FGLJ0612.5-3934 ,06 12 37.79,-39 38 59.2,63.7,2.21e-12,0,0,Fermi 4LAC
1537,5BZQJ0613+1306 ,06 13 57.68,+13 06 45.39,545,0,0,0.745,5BZCAT
1538,5BZQJ0614-2536 ,06 14 17.21,-25 36 53.49,419,0,0,2.15,5BZCAT
1539,5BZBJ0617+5701 ,06 17 16.91,+57 01 16.28,463,1.21e-11,0,0,5BZCAT
1540,3HSPJ061702.7+434033.8,06 17 02.75,+43 40 33.81,42.6,1.12e-12,15,0.26,3HSP
1541,5BZBJ0615-3117 ,06 15 19.24,-31 17 21.51,173,4.14e-12,0,0,5BZCAT
1542,3HSPJ061610.2-173305.5,06 16 10.28,-17 33 05.5,6,0,17.5,0.55,3HSP
1543, 3FGLJ0542.2-8737 ,05 49 33.76,-87 40 01.41,0,4.84e-12,0,0,Fermi 3LAC
1544,4FGLJ0616.7-1049 ,06 16 41.81,-10 41 08.48,114.7,0,0,0,Fermi 4LAC
1545,5BZQJ0618+4620 ,06 18 08.22,+46 20 16.0,64,0,0,0.607,5BZCAT
1546,5BZQJ0617-2200 ,06 17 02.04,-22 00 28.11,216,0,0,2.316,5BZCAT
1547,5BZGJ0617-1715 ,06 17 33.41,-17 15 24.8,364,8.03e-12,0,0.098,5BZCAT
1548,3HSPJ061740.9-171557.5,06 17 40.92,-17 15 57.38,18.6,8.03e-12,15.3,0,3HSP
1549,3HSPJ061742.8-171908.7,06 17 42.84,-17 19 08.61,77,8.03e-12,16.4,0.16,3HSP
1550,3HSPJ061949.5+573549.0,06 19 49.56,+57 35 48.98,2.9,0,16.9,0.45,3HSP
1551,4FGLJ0618.1-2428 ,06 18 22.64,-24 26 37.89,552.3,3.12e-12,0,0,Fermi 3LAC
1552,3HSPJ061841.8-173101.8,06 18 41.81,-17 31 01.81,7.2,0,16.2,0.5,3HSP
1553,5BZUJ0619-1140 ,06 19 04.09,-11 40 54.91,508,0,0,0.97,5BZCAT
1554,4FGLJ0620.3+3804 ,06 20 18.12,+38 05 25.79,23.9,5.21e-12,0,0,Fermi 4LAC
1555,3HSPJ062040.0+264331.9,06 20 40.03,+26 43 31.9,82.6,3.05e-12,16.9,0.14,3HSP
1556,3HSPJ061518.2-782830.0,06 15 18.29,-78 28 29.99,15.5,0,16.3,0.112,3HSP
1557,5BZUJ0620-2515 ,06 20 32.1,-25 15 17.49,1214,5.93e-12,0,1.9,5BZCAT
1558,5BZUJ0621+3750 ,06 21 57.63,+37 50 57.01,44,1.74e-11,0,0,5BZCAT
1559,5BZBJ0621+1747 ,06 21 47.75,+17 47 35.01,12,2.41e-12,0,0,5BZCAT
1560,4FGLJ0621.2-2213 ,06 21 10.22,-22 13 42.7,45.7,2.74e-12,0,0,Fermi 4LAC
1561,3HSPJ062046.1-503350.9,06 20 46.13,-50 33 50.9,41.6,9.03e-13,15,0.25,3HSP
1562,5BZUJ0622+3326 ,06 22 52.2,+33 26 10.28,240,4.03e-11,0,1.062,5BZCAT
1563,5BZBJ0621-3411 ,06 21 49.68,-34 11 49.41,8,1.46e-12,17.7,0.529,5BZCAT
1564, 3FGLJ0623.3+3043 ,06 23 16.19,+30 44 56.0,0,6.13e-12,0,0,Fermi 3LAC
1565,5BZQJ0622-1927 ,06 22 28.54,-19 27 18.21,133,0,0,2.19,5BZCAT
1566,4FGLJ0622.3-2605 ,06 22 22.06,-26 05 44.59,106.5,2.14e-11,0,0,Fermi 3LAC
1567,5BZQJ0624+3856 ,06 24 19.01,+38 56 48.69,808,0,0,3.469,5BZCAT
1568,4FGLJ0622.7-4141 ,06 22 42.48,-41 43 58.69,65.6,2e-12,0,0,Fermi 4LAC
1569,4FGLJ0623.0-3010 ,06 23 11.53,-30 09 52.09,45.3,4.15e-12,0,0,Fermi 4LAC
1570,5BZQJ0618-7843 ,06 18 30.07,-78 43 02.2,214,0,0,0.942,5BZCAT
1571,5BZBJ0625+4440 ,06 25 18.27,+44 40 01.59,122,8.44e-12,0,0,5BZCAT
1572,4FGLJ0623.7-3348 ,06 23 39.9,-33 50 14.71,210.5,3.84e-12,0,0,Fermi 4LAC
1573,3HSPJ062550.4+485806.9,06 25 50.39,+48 58 06.81,6.7,0,16.1,0.4,3HSP
1574,5BZQJ0623-4413 ,06 23 31.78,-44 13 02.49,766,0,0,0.688,5BZCAT
1575,5BZBJ0623-5257 ,06 23 37.86,-52 57 56.01,47,2.19e-12,16,0,5BZCAT
1576,5BZBJ0624-3230 ,06 24 45.05,-32 30 55.29,42,0,16.6,0.252,5BZCAT
1577,5BZQJ0623-6436 ,06 23 07.68,-64 36 20.7,274,2.94e-12,0,0.129,5BZCAT
1578,4FGLJ0628.6+6900 ,06 29 22.22,+69 00 19.79,43.8,2.51e-12,0,0,Fermi 3LAC
1579,3HSPJ062626.2-171046.6,06 26 26.28,-17 10 46.59,12.1,2.75e-12,16.6,0.7,3HSP
1580,5BZQJ0625-5438 ,06 25 52.2,-54 38 51.0,281,4.13e-12,0,2.051,5BZCAT
1581,3HSPJ062636.7-425806.0,06 26 36.71,-42 58 05.91,14.1,2.82e-12,15.5,0.27,3HSP
1582,3FGLJ0627.0-3529 ,06 27 06.72,-35 29 15.28,2372.7,1.62e-11,0,0,Fermi 3LAC
1583,3HSPJ062753.3-151957.1,06 27 53.35,-15 19 57.1,43.4,0,17.3,0.29,3HSP
1584,5BZBJ0629-1959 ,06 29 23.76,-19 59 19.71,677,2.18e-11,0,0,5BZCAT
1585,5BZQJ0631+5311 ,06 31 34.72,+53 11 27.6,757,0,0,2.204,5BZCAT
1586, 3FGLJ0631.2+2019 ,06 31 01.06,+20 20 59.2,0,8.84e-12,0,0,Fermi 3LAC
1587,3HSPJ063015.0-201236.4,06 30 15.05,-20 12 36.39,8.5,0,16.4,0.22,3HSP
1588,5BZBJ0628-6248 ,06 28 57.48,-62 48 44.71,528,6.7e-12,0,0,5BZCAT
1589,3HSPJ063257.9+591541.8,06 32 57.9,+59 15 41.79,40,0,16.9,0.28,3HSP
1590,5BZQJ0630-1323 ,06 30 53.89,-13 23 34.51,410,0,0,1.021,5BZCAT
1591,5BZBJ0630-2406 ,06 30 59.51,-24 06 46.11,105,4.18e-11,15.1,0,5BZCAT
1592,5BZQJ0631-1410 ,06 31 20.22,-14 10 31.79,467,0,0,1.017,5BZCAT
1593,5BZQJ0632+3200 ,06 32 30.77,+32 00 53.6,46,0,0,1.831,5BZCAT
1594,3HSPJ063359.7+584035.8,06 33 59.7,+58 40 35.79,6.9,1.03e-12,15,0.29,3HSP
1595,5BZQJ0631-4154 ,06 31 11.99,-41 54 26.78,685,0,0,1.416,5BZCAT
1596,5BZQJ0632-2614 ,06 32 06.51,-26 14 12.8,432,0,0,0.717,5BZCAT
1597,4FGLJ0636.5+7138 ,06 36 42.86,+71 38 43.29,41.2,3.21e-12,0,0,Fermi 4LAC
1598,5BZQJ0632-5404 ,06 32 01.15,-54 04 57.5,171,0,0,0.193,5BZCAT
1599,3HSPJ063331.0-162951.1,06 33 31.0,-16 29 51.1,76.6,0,15.2,0,3HSP
1600,5BZQJ0633-2223 ,06 33 26.76,-22 23 22.7,358,4.85e-12,0,1.508,5BZCAT
1601,4FGLJ0634.9-2335 ,06 34 58.98,-23 35 11.9,566.7,7.06e-12,0,0,Fermi 3LAC
1602,5BZQJ0639+7324 ,06 39 21.95,+73 24 57.99,903,5.62e-12,0,1.85,5BZCAT
1603,5BZBJ0635-2620 ,06 35 20.9,-26 20 39.91,0,0,0,0,5BZCAT
1604,5BZQJ0636-2113 ,06 36 00.59,-21 13 12.1,201,0,0,1.883,5BZCAT
1605,4FGLJ0638.2+6020 ,06 38 35.75,+60 17 03.01,16.6,2.21e-12,0,0,Fermi 4LAC
1606,4FGLJ0638.7+5658 ,06 38 25.73,+57 01 50.59,67.8,2.48e-12,0,0,Fermi 4LAC
1607,4FGLJ0639.6+3503 ,06 39 09.58,+35 06 22.5,347.8,4.15e-12,0,0,Fermi 4LAC
1608,4FGLJ0637.4-3537 ,06 37 46.39,-35 36 48.31,141.4,2.79e-12,0,0,Fermi 4LAC
1609,3HSPJ063841.4-261744.1,06 38 41.44,-26 17 44.01,3.7,0,15.6,0,3HSP
1610,5BZQJ0642+6758 ,06 42 04.26,+67 58 35.5,192,0,0,3.18,5BZCAT
1611,5BZQJ0635-7516 ,06 35 46.5,-75 16 16.71,5283,1.31e-11,0,0.653,5BZCAT
1612,5BZBJ0639-3346 ,06 39 20.89,-33 46 00.08,264,0,0,0,5BZCAT
1613,3HSPJ064050.3+243319.2,06 40 50.33,+24 33 19.11,19.4,1.85e-12,16.4,0.27,3HSP
1614,3HSPJ064007.1-125315.0,06 40 07.17,-12 53 14.99,225.2,5.54e-12,17.1,0.11,3HSP
1615, 3FGLJ0641.8-0319 ,06 41 51.12,-03 20 48.51,0,2.69e-11,0,0,Fermi 3LAC
1616,5BZGJ0643+4214 ,06 43 26.76,+42 14 18.81,98,0,17.2,0.089,5BZCAT
1617,3HSPJ064435.7+603851.1,06 44 35.7,+60 38 51.1,34,3.64e-12,15.5,0.33,3HSP
1618,5BZUJ0645+6024 ,06 45 01.56,+60 24 45.0,561,0,0,0.832,5BZCAT
1619, 3FGLJ0643.2+0859 ,06 43 26.44,+08 57 38.01,0,3.08e-11,0,0,Fermi 3LAC
1620,5BZQJ0644+3914 ,06 44 53.7,+39 14 47.5,443,0,0,1.266,5BZCAT
1621,5BZQJ0642-6150 ,06 42 46.98,-61 50 08.69,247,0,0,1.223,5BZCAT
1622,3FGLJ0643.4-5358 ,06 43 20.09,-53 58 46.3,51.1,3.65e-12,0,0,Fermi 3LAC
1623,5BZQJ0644-3459 ,06 44 25.26,-34 59 41.78,718,0,0,2.165,5BZCAT
1624,3HSPJ064827.4+711313.6,06 48 27.46,+71 13 13.51,3.9,0,15.1,0,3HSP
1625,3HSPJ064443.7-285116.5,06 44 43.74,-28 51 16.41,53.5,2.75e-12,16.1,0.35,3HSP
1626,5BZQJ0646+4451 ,06 46 32.03,+44 51 16.59,452,0,0,3.396,5BZCAT
1627,4FGLJ0647.8+4527 ,06 47 49.91,+45 25 10.81,101.4,5.61e-12,0,0,Fermi 4LAC
1628,3FGLJ0644.3-6713 ,06 44 28.03,-67 12 57.31,222.8,2.18e-11,0,0,Fermi 3LAC
1629,5BZQJ0646-3903 ,06 46 30.91,-39 03 39.09,290,0,0,0.681,5BZCAT
1630,5BZQJ0702+8549 ,07 02 32.7,+85 49 52.28,246,0,0,1.059,5BZCAT
1631, 3FGLJ0647.1-4415 ,06 46 48.52,-44 19 29.38,0,0,0,0,Fermi 3LAC
1632,3HSPJ064813.9+160656.5,06 48 13.97,+16 06 56.41,25,2.14e-12,16.9,0.35,3HSP
1633,4FGLJ0646.4-5455 ,06 46 28.62,-54 51 16.59,527.4,2.63e-12,0,0,Fermi 3LAC
1634,5BZBJ0648+1516 ,06 48 47.64,+15 16 24.81,64,1.84e-11,16.6,0.179,5BZCAT
1635,3HSPJ064710.0-513547.8,06 47 10.02,-51 35 47.79,70.8,2.2e-12,17.9,0.22,3HSP
1636,5BZQJ0650+6001 ,06 50 31.25,+60 01 44.5,472,0,0,0.455,5BZCAT
1637,5BZQJ0648-1744 ,06 48 28.49,-17 44 05.49,1046,1.62e-11,0,1.232,5BZCAT
1638,5BZQJ0648-3044 ,06 48 14.1,-30 44 19.71,898,1.39e-11,0,1.153,5BZCAT
1639,4FGLJ0651.4+6525 ,06 51 25.32,+65 24 56.91,21,3.48e-12,0,0,Fermi 4LAC
1640,5BZQJ0650+5616 ,06 50 48.13,+56 16 34.49,198,0,0,1.427,5BZCAT
1641,5BZQJ0648-4347 ,06 48 13.42,-43 47 15.61,265,0,0,1.029,5BZCAT
1642,3FGLJ0647.6-6058 ,06 47 40.85,-60 58 05.01,110.3,8.1e-12,0,0,Fermi 3LAC
1643,3HSPJ065105.4+401338.1,06 51 05.4,+40 13 38.09,32.2,5.82e-12,15.2,0.18,3HSP
1644,3HSPJ065035.3+205555.9,06 50 35.32,+20 55 55.88,6.9,5.95e-12,16.7,0.3,3HSP
1645,3HSPJ064933.6-313920.3,06 49 33.59,-31 39 20.3,7.5,5.99e-12,16.8,0,3HSP
1646,5BZBJ0650+2502 ,06 50 46.47,+25 02 59.6,96,3.84e-11,16.7,0.203,5BZCAT
1647, 3FGLJ0650.4-1636 ,06 50 24.58,-16 37 39.68,0,1.02e-11,0,0,Fermi 3LAC
1648,5BZQJ0649-5920 ,06 49 28.61,-59 20 28.6,21,0,0,2.272,5BZCAT
1649,3HSPJ065010.3-514421.9,06 50 10.32,-51 44 21.91,38,1.92e-12,15,0.31,3HSP
1650,3HSPJ064850.4-694522.6,06 48 50.47,-69 45 22.6,40.6,0,17.1,0.28,3HSP
1651,5BZQJ0654+5042 ,06 54 22.08,+50 42 23.9,198,1.31e-11,0,1.253,5BZCAT
1652,5BZQJ0653+3705 ,06 53 58.27,+37 05 40.59,799,0,0,1.982,5BZCAT
1653,4FGLJ0653.7+2815 ,06 53 44.27,+28 15 47.3,33.6,3.72e-12,0,0,Fermi 3LAC
1654,3HSPJ065200.5-480859.3,06 52 00.55,-48 08 59.31,71.7,1.6e-12,16.1,0.4,3HSP
1655,5BZQJ0654+4514 ,06 54 23.7,+45 14 23.49,382,1.75e-11,0,0.928,5BZCAT
1656,5BZGJ0654+4247 ,06 54 43.51,+42 47 58.7,202,3.31e-12,0,0.126,5BZCAT
1657, 3FGLJ0654.5+0926 ,06 54 27.12,+09 25 35.11,0,2.95e-12,0,0,Fermi 3LAC
1658,4FGLJ0654.0-4152 ,06 53 59.95,-41 51 44.71,727.5,1.64e-12,0,0,Fermi 4LAC
1659,5BZGJ0656+4237 ,06 56 10.66,+42 37 02.71,932,2.37e-12,15.8,0.059,5BZCAT
1660,3HSPJ065635.5+421524.7,06 56 35.57,+42 15 24.69,12.1,1.99e-12,16.5,0.45,3HSP
1661,4FGLJ0655.4-2631 ,06 55 23.92,-26 30 42.51,27.2,3.55e-12,0,0,Fermi 4LAC
1662,5BZQJ0656-0323 ,06 56 11.1,-03 23 06.68,402,3.24e-11,0,0.634,5BZCAT
1663,4FGLJ0654.6-4952 ,06 55 18.42,-49 52 05.91,92.2,2.41e-12,0,0,Fermi 4LAC
1664,5BZQJ0657+2423 ,06 57 05.68,+24 23 55.28,325,0,0,1.925,5BZCAT
1665,5BZBJ0656-2403 ,06 56 22.67,-24 03 19.51,104,1.89e-12,0,0.371,5BZCAT
1666,4FGLJ0658.2+2709 ,06 58 09.24,+27 08 22.59,167.6,2e-12,0,0,Fermi 4LAC
1667,3HSPJ065751.3-284307.0,06 57 51.33,-28 43 06.99,65.1,0,15.4,0,3HSP
1668,3HSPJ065845.0+063711.5,06 58 45.0,+06 37 11.49,25.4,3.71e-12,15.5,0.23,3HSP
1669,3FGLJ0700.0+1709 ,07 00 01.51,+17 09 21.7,647.9,5.05e-12,0,0,Fermi 3LAC
1670, 3FGLJ0658.3-5832 ,06 58 09.24,-58 25 04.29,0,0,0,0,Fermi 3LAC
1671,3HSPJ070014.3+130424.4,07 00 14.29,+13 04 24.31,78,5.56e-12,15.1,0.21,3HSP
1672,5BZUJ0658-5840 ,06 58 13.77,-58 40 27.51,436,2.12e-12,0,0.421,5BZCAT
1673,5BZQJ0659-2745 ,06 59 49.86,-27 45 18.68,541,3.77e-12,0,1.727,5BZCAT
1674,3HSPJ070315.9+680831.2,07 03 15.89,+68 08 31.19,30.4,1.11e-12,15.6,0.27,3HSP
1675,3HSPJ070132.1+250953.7,07 01 32.15,+25 09 53.71,10,2.01e-12,17,0.33,3HSP
1676,5BZBJ0706+7741 ,07 06 51.3,+77 41 36.99,38,1.08e-11,0,0,5BZCAT
1677,4FGLJ0700.1-6311 ,06 59 58.68,-63 12 38.48,55.7,2.52e-12,0,0,Fermi 3LAC
1678,3HSPJ065932.9-674350.1,06 59 32.92,-67 43 50.01,25.2,1.23e-12,17.4,0.43,3HSP
1679,5BZQJ0701-4634 ,07 01 34.55,-46 34 36.51,459,1.48e-11,0,0.822,5BZCAT
1680,5BZBJ0700-6610 ,07 00 31.24,-66 10 45.08,288,4.31e-11,0,0,5BZCAT
1681,5BZBJ0702-1951 ,07 02 42.89,-19 51 21.99,527,2.31e-11,0,0,5BZCAT
1682,4FGLJ0704.8+4907 ,07 04 59.93,+49 06 36.39,144.2,7.52e-12,0,0,Fermi 4LAC
1683,4FGLJ0704.7+4508 ,07 04 50.95,+45 02 41.78,106.6,2.23e-12,0,0,Fermi 4LAC
1684,4FGLJ0703.2-3914 ,07 03 12.64,-39 14 18.81,63.6,6.4e-12,0,0,Fermi 3LAC
1685,4FGLJ0705.9+5309 ,07 06 07.32,+53 09 55.0,116.7,2.1e-12,0,0,Fermi 4LAC
1686,5BZBJ0707+6110 ,07 07 00.6,+61 10 11.6,425,4.04e-12,0,0,5BZCAT
1687,5BZBJ0706+3744 ,07 06 31.68,+37 44 36.31,27,1.34e-11,15.4,0,5BZCAT
1688,3HSPJ070610.8+024449.2,07 06 10.8,+02 44 49.19,18.4,2.36e-12,16,0.22,3HSP
1689,4FGLJ0705.7-4848 ,07 05 58.73,-48 47 24.5,192.8,7.69e-12,0,0,Fermi 3LAC
1690,4FGLJ0708.9+4839 ,07 09 07.99,+48 36 55.69,365,1.26e-12,0,0,Fermi 4LAC
1691,4FGLJ0709.0+4304 ,07 08 57.25,+43 06 53.31,32.2,1.23e-12,0,0,Fermi 4LAC
1692,5BZGJ0709+5010 ,07 09 34.19,+50 10 56.1,121,0,0,0.02,5BZCAT
1693,5BZBJ0708+2241 ,07 08 58.27,+22 41 35.48,41,1.14e-11,15.3,0,5BZCAT
1694,5BZBJ0710+5908 ,07 10 30.05,+59 08 20.11,91,6.95e-12,18.1,0.125,5BZCAT
1695,3HSPJ070912.5-152703.5,07 09 12.49,-15 27 03.38,1035.4,4.49e-12,16.9,0.1,3HSP
1696,5BZBJ0710+4732 ,07 10 46.09,+47 32 11.11,1019,5.07e-12,0,1.292,5BZCAT
1697,5BZQJ0710+4220 ,07 10 44.33,+42 20 54.99,335,0,0,1.163,5BZCAT
1698,5BZUJ0709-0255 ,07 09 45.05,-02 55 17.5,153,3.04e-11,0,0,5BZCAT
1699,3HSPJ070947.9-300905.7,07 09 47.89,-30 09 05.61,6.3,2.37e-12,16.4,0,3HSP
1700,5BZBJ0712+5719 ,07 12 18.9,+57 19 47.99,8,1.94e-12,17.6,0.095,5BZCAT
1701,5BZBJ0712+5033 ,07 12 43.67,+50 33 22.71,189,1.25e-11,0,0,5BZCAT
1702,4FGLJ0710.8-3851 ,07 10 43.62,-38 50 36.99,799.7,9.64e-12,0,0,Fermi 4LAC
1703,3HSPJ071223.5+331333.7,07 12 23.57,+33 13 33.7,16.1,1.24e-12,16.8,0.41,3HSP
1704,4FGLJ0712.5+3311 ,07 12 24.43,+33 09 55.51,9.2,1.24e-12,0,0,Fermi 4LAC
1705,3HSPJ071625.6+750700.8,07 16 25.66,+75 07 00.8,15.9,0,16.1,0,3HSP
1706,5BZUJ0713+4349 ,07 13 38.16,+43 49 17.0,2012,0,0,0.518,5BZCAT
1707,4FGLJ0713.5+2537 ,07 13 36.72,+25 40 16.78,94.4,2.27e-12,0,0,Fermi 4LAC
1708,5BZQJ0713+1935 ,07 13 55.67,+19 35 00.31,219,1.83e-11,0,0.54,5BZCAT
1709,5BZQJ0714+3534 ,07 14 24.82,+35 34 39.68,1467,0,0,1.62,5BZCAT
1710,4FGLJ0714.4+1110 ,07 14 16.57,+11 08 30.01,32.4,2.04e-12,0,0,Fermi 4LAC
1711, 3FGLJ0712.2-6436 ,07 13 01.66,-64 29 09.2,0,1.72e-12,0,0,Fermi 3LAC
1712,3HSPJ071525.2-513738.1,07 15 25.29,-51 37 38.09,68.8,0,15.7,0,3HSP
1713,5BZQJ0717+4538 ,07 17 51.84,+45 38 03.3,383,6.51e-12,0,0.94,5BZCAT
1714,4FGLJ0715.6-4528 ,07 15 44.71,-45 30 30.38,35.7,4.43e-12,0,0,Fermi 4LAC
1715,4FGLJ0715.3-6828 ,07 15 09.48,-68 29 58.19,144.9,1.77e-12,0,0,Fermi 4LAC
1716,3HSPJ071959.8+632228.3,07 19 59.86,+63 22 28.3,49.9,0,15.3,0,3HSP
1717,4FGLJ0720.0-6237 ,07 16 33.68,-62 40 26.68,115.7,0,0,0,Fermi 4LAC
1718,4FGLJ0726.1+8114 ,07 25 26.28,+81 14 07.69,29.7,9.81e-13,0,0,Fermi 4LAC
1719,5BZQJ0719+3307 ,07 19 19.42,+33 07 09.69,226,3.76e-11,0,0.779,5BZCAT
1720,5BZBJ0721+7120 ,07 21 53.45,+71 20 36.31,727,2.18e-10,0,0,5BZCAT
1721,3HSPJ071745.0-552022.0,07 17 45.05,-55 20 21.91,47.4,2.31e-12,15.4,0,3HSP
1722,5BZBJ0718-4319 ,07 18 43.62,-43 19 49.58,85,2.06e-11,0,0,5BZCAT
1723,4FGLJ0719.7-4012 ,07 19 38.94,-40 11 47.4,64.9,6.9e-12,0,0,Fermi 3LAC
1724,5BZQJ0719-6218 ,07 19 04.45,-62 18 02.41,286,0,0,1.247,5BZCAT
1725,5BZQJ0722+3722 ,07 22 01.24,+37 22 28.59,150,0,0,1.63,5BZCAT
1726,3HSPJ072113.9-022055.0,07 21 13.89,-02 20 54.99,5.4,2.35e-12,16.9,0.38,3HSP
1727,5BZQJ0721+0406 ,07 21 23.89,+04 06 44.2,313,1.42e-11,0,0.665,5BZCAT
1728,5BZBJ0723+5841 ,07 23 14.03,+58 41 20.11,16,7.28e-13,17.2,0,5BZCAT
1729,3HSPJ071908.6-705403.5,07 19 08.59,-70 54 03.38,20.9,1.45e-12,16.4,0.33,3HSP
1730,4FGLJ0722.7+3606 ,07 22 57.4,+36 06 19.9,70.5,2.21e-12,0,0,Fermi 4LAC
1731,3HSPJ072406.2+535114.9,07 24 06.23,+53 51 14.9,17.9,0,15.2,0,3HSP
1732,5BZBJ0722-0731 ,07 22 59.66,-07 31 34.71,84,4.97e-12,16.3,0,5BZCAT
1733,5BZQJ0723+2859 ,07 23 54.83,+28 59 29.9,38,3.23e-12,0,0.966,5BZCAT
1734,3HSPJ072348.3+205130.8,07 23 48.34,+20 51 30.7,43.4,3.26e-12,16.1,0.21,3HSP
1735,5BZBJ0724+2621 ,07 24 42.73,+26 21 30.59,4,0,0,0,5BZCAT
1736,5BZQJ0724-0715 ,07 24 17.28,-07 15 20.41,330,0,0,0.28,5BZCAT
1737,5BZQJ0725+1425 ,07 25 16.8,+14 25 13.58,1067,4.84e-11,0,1.038,5BZCAT
1738,3HSPJ072529.5-050336.5,07 25 29.52,-05 03 36.5,93.5,1.93e-12,16.3,0.1,3HSP
1739,4FGLJ0728.0+6735 ,07 28 10.89,+67 48 47.01,2123.6,0,0,0,Fermi 4LAC
1740,5BZQJ0726+2153 ,07 26 14.26,+21 53 20.11,247,0,0,1.857,5BZCAT
1741,5BZUJ0725-0054 ,07 25 50.64,-00 54 56.41,1399,1.15e-11,0,0.128,5BZCAT
1742,5BZUJ0727+4844 ,07 27 03.1,+48 44 10.1,391,0,0,2.46,5BZCAT
1743,3HSPJ072547.8-054832.4,07 25 47.88,-05 48 32.4,6.1,5.17e-12,16.4,0,3HSP
1744,5BZBJ0726+3734 ,07 26 59.52,+37 34 23.01,11,1.09e-12,15.7,0.872,5BZCAT
