id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
59,5BZQJ0013-0423 ,00 13 54.11,-04 23 52.11,303,2.22e-12,0,1.075,5BZCAT
60,5BZBJ0013+1910 ,00 13 56.34,+19 10 41.91,161,2.29e-12,0,0.477,5BZCAT
61,5BZGJ0013-1854 ,00 13 56.03,-18 54 06.51,29,3.15e-12,17.4,0.095,5BZCAT
62,5BZBJ0014-5022 ,00 14 11.43,-50 22 34.89,13,2.89e-12,17.5,0,5BZCAT
63,5BZGJ0014+0854 ,00 14 19.74,+08 54 01.4,324,2.67e-12,0,0.162,5BZCAT
64,4FGLJ0014.3-0500 ,00 14 20.43,-04 59 28.78,79.9,5.08e-12,0,0,Fermi 4LAC
65,5BZBJ0014+5802 ,00 14 42.12,+58 02 01.21,8,3.25e-12,16,0,5BZCAT
66,5BZQJ0014-3059 ,00 14 37.93,-30 59 19.21,193,0,0,2.785,5BZCAT
67,3HSPJ001442.0+162126.2,00 14 42.06,+16 21 26.2,5.7,0,16.5,0.56,3HSP
68, 3FGLJ0014.6+6119 ,00 14 48.78,+61 17 43.51,0,5.62e-12,0,0,Fermi 3LAC
69,4FGLJ0014.9+3212 ,00 15 06.13,+32 16 13.29,1678.4,4.04e-12,0,0,Fermi 4LAC
70,5BZQJ0015-1812 ,00 15 02.46,-18 12 50.61,387,0,0,0.743,5BZCAT
71,5BZBJ0015+3536 ,00 15 27.96,+35 36 39.59,11,1.44e-12,16.7,0,5BZCAT
72,3HSPJ001540.1+555144.7,00 15 40.13,+55 51 44.71,85,4.03e-12,15.9,0.15,3HSP
73,5BZQJ0015+1700 ,00 15 39.96,+17 00 41.0,135,0,0,1.709,5BZCAT
74,3HSPJ001541.8+121845.5,00 15 41.86,+12 18 45.5,6.8,0,16.3,0.35,3HSP
75,4FGLJ0015.9+2440 ,00 16 03.6,+24 40 14.7,72.2,2.45e-12,0,0,Fermi 4LAC
76,5BZQJ0016-0015 ,00 16 11.09,-00 15 12.31,1086,9.94e-12,0,1.577,5BZCAT
77,5BZQJ0017+8135 ,00 17 08.45,+81 35 08.19,693,0,0,3.387,5BZCAT
78,4FGLJ0017.0-0649 ,00 17 09.39,-06 50 34.9,94,4.46e-12,0,0,Fermi 3LAC
79,5BZBJ0017+1451 ,00 17 36.89,+14 51 01.9,59,2.78e-12,0,0.303,5BZCAT
80,5BZQJ0017-0512 ,00 17 35.81,-05 12 41.61,174,1.22e-11,0,0.227,5BZCAT
81,5BZQJ0017-2748 ,00 17 58.98,-27 48 21.09,344,0,0,1.169,5BZCAT
82,5BZBJ0018+2947 ,00 18 27.78,+29 47 30.8,33,3.49e-12,17.1,0.1,5BZCAT
83,3HSPJ001916.2+053148.9,00 19 16.2,+05 31 48.89,4,0,16,0.467,3HSP
84,5BZQJ0019+7327 ,00 19 45.77,+73 27 30.2,1136,2.11e-11,0,1.781,5BZCAT
85,4FGLJ0019.2-5640 ,00 19 26.61,-56 41 42.39,60.6,2.41e-12,0,0,Fermi 3LAC
86,5BZBJ0019+2021 ,00 19 37.84,+20 21 45.68,983,3.14e-12,0,0,5BZCAT
87,5BZQJ0019+2602 ,00 19 39.78,+26 02 52.4,683,0,0,0.284,5BZCAT
88,5BZQJ0019-3031 ,00 19 42.66,-30 31 19.19,507,0,0,2.677,5BZCAT
89,5BZBJ0019-8152 ,00 19 20.58,-81 52 51.2,83,5.91e-12,0,0,5BZCAT
90,4FGLJ0021.0+0322 ,00 20 50.23,+03 23 57.98,14.3,1.98e-12,0,0,Fermi 4LAC
91,5BZBJ0021-2550 ,00 21 32.52,-25 50 49.2,69,7.01e-12,0,0,5BZCAT
92,5BZBJ0021-0900 ,00 21 42.24,-09 00 44.31,45,1.86e-12,0,0.648,5BZCAT
93,5BZQJ0022+4525 ,00 22 06.6,+45 25 34.1,345,0,0,1.897,5BZCAT
94,5BZGJ0022+0006 ,00 22 00.95,+00 06 57.99,2,1.91e-12,16.3,0.306,5BZCAT
95,5BZBJ0022-5140 ,00 22 00.06,-51 40 24.2,20,6.91e-12,15.7,0,5BZCAT
96,5BZBJ0022-1853 ,00 22 09.27,-18 53 34.8,23,9.49e-12,0,0,5BZCAT
97,3HSPJ002209.5-670510.4,00 22 09.54,-67 05 10.28,0,0,16,0.3,3HSP
98,5BZBJ0022+0608 ,00 22 32.44,+06 08 04.41,340,2.15e-11,0,0,5BZCAT
99,3HSPJ002254.9-341347.9,00 22 54.96,-34 13 47.78,12.2,0,15.2,0,3HSP
100,3HSPJ002259.0-244022.9,00 22 59.03,-24 40 22.9,27.4,0,15.7,0,3HSP
101,5BZUJ0023+4456 ,00 23 35.44,+44 56 35.8,140,5.84e-12,0,2.023,5BZCAT
102,5BZBJ0024+1602 ,00 24 01.26,+16 02 34.0,57,2.96e-12,0,0,5BZCAT
103,4FGLJ0024.4+4647 ,00 24 21.53,+46 44 06.21,447.3,2.88e-12,0,0,Fermi 4LAC
104,5BZQJ0024+2439 ,00 24 27.31,+24 39 26.6,150,0,0,1.444,5BZCAT
105,5BZQJ0024+0349 ,00 24 45.19,+03 49 03.61,22,2.42e-12,0,0.545,5BZCAT
106,5BZQJ0024-0412 ,00 24 45.95,-04 12 01.58,260,0,0,1.946,5BZCAT
107,5BZQJ0025-2227 ,00 25 24.24,-22 27 47.48,202,1.48e-12,0,0.834,5BZCAT
108,4FGLJ0025.7-4801 ,00 25 45.82,-48 03 55.11,384.9,4.19e-12,0,0,Fermi 4LAC
109,3HSPJ002611.6-073115.5,00 26 11.62,-07 31 15.38,9.9,1.7e-12,15.7,0.5,3HSP
110,5BZBJ0026-4601 ,00 26 35.62,-46 01 09.69,38,2.43e-12,16.4,0,5BZCAT
111,5BZQJ0026-1112 ,00 26 51.42,-11 12 52.41,169,0,0,1.118,5BZCAT
112,5BZQJ0027+2241 ,00 27 15.36,+22 41 58.3,301,0,0,1.119,5BZCAT
113,5BZGJ0027+2607 ,00 27 26.99,+26 07 06.7,56,0,0,0.36,5BZCAT
114,4FGLJ0028.1+7505 ,00 28 13.06,+75 06 12.81,81.1,1.89e-12,0,0,Fermi 3LAC
115,4FGLJ0028.4+2001 ,00 28 29.81,+20 00 26.71,287.1,6.21e-12,0,0,Fermi 3LAC
116,5BZBJ0028+2408 ,00 28 34.2,+24 08 08.41,70,0,0,0.373,5BZCAT
117,5BZUJ0028+0035 ,00 28 39.84,+00 35 41.31,89,0,0,0.687,5BZCAT
118,4FGLJ0028.9+3553 ,00 28 51.96,+35 50 35.98,15.9,2.45e-12,0,0,Fermi 4LAC
119,5BZQJ0029+0509 ,00 29 03.58,+05 09 34.81,440,0,0,1.633,5BZCAT
120,5BZBJ0028-7045 ,00 28 41.52,-70 45 15.8,94,6.52e-12,0,0,5BZCAT
121,3HSPJ002928.6+205333.7,00 29 28.6,+20 53 33.61,11.4,1.11e-12,16.4,0.367,3HSP
122,5BZQJ0029+0554 ,00 29 45.89,+05 54 40.89,294,0,0,1.314,5BZCAT
123,5BZBJ0030-0000 ,00 30 07.86,-00 00 07.19,51,0,0,0,5BZCAT
124,3HSPJ003020.4-164713.0,00 30 20.4,-16 47 12.91,9.5,4.08e-12,15.6,0.237,3HSP
125,5BZQJ0030-4224 ,00 30 17.48,-42 24 46.4,425,1.61e-11,0,0.495,5BZCAT
126,4FGLJ0030.6-0212 ,00 30 31.81,-02 11 56.11,151.3,1.97e-11,0,0,Fermi 3LAC
127,3HSPJ003119.7+072453.4,00 31 19.69,+07 24 53.31,12.2,2.27e-12,15.1,0,3HSP
128,3HSPJ003120.7+051333.1,00 31 20.79,+05 13 33.09,9.1,0,16.3,0.22,3HSP
129,3HSPJ003120.5-233401.4,00 31 20.52,-23 34 01.3,2.8,1.9e-12,16.1,0.3,3HSP
130,5BZQJ0031-3922 ,00 31 24.32,-39 22 49.4,137,0,0,1.298,5BZCAT
131,5BZQJ0031-4108 ,00 31 28.03,-41 08 15.68,353,0,0,0.896,5BZCAT
132,4FGLJ0032.3-5522 ,00 32 10.92,-55 22 27.91,34.3,5.84e-12,0,0,Fermi 4LAC
133,3HSPJ003222.5-472536.1,00 32 22.56,-47 25 36.01,13.2,0,16.3,0.44,3HSP
134,5BZQJ0032-2649 ,00 32 33.0,-26 49 18.08,135,0,0,1.47,5BZCAT
135,5BZBJ0032-2849 ,00 32 33.06,-28 49 20.31,160,2.35e-12,0,0.324,5BZCAT
136,3HSPJ003333.2+502956.1,00 33 33.24,+50 29 56.11,16.5,0,16.4,0.45,3HSP
137,3HSPJ003322.4-203908.2,00 33 22.46,-20 39 08.2,8.7,0,17.9,0.073,3HSP
138,5BZBJ0033-1921 ,00 33 34.36,-19 21 32.9,19,3.18e-11,15.6,0,5BZCAT
139,3HSPJ003358.8+390631.7,00 33 58.8,+39 06 31.6,5.7,0,16.6,0.58,3HSP
140,4FGLJ0033.9+3858 ,00 34 02.39,+39 00 37.51,128.6,2.94e-12,0,0,Fermi 4LAC
141,4FGLJ0034.0-4116 ,00 34 04.39,-41 16 19.41,276.1,3.31e-12,0,0,Fermi 4LAC
142,5BZQJ0034+2754 ,00 34 43.49,+27 54 25.7,828,0,0,2.964,5BZCAT
143,5BZBJ0035+1515 ,00 35 14.7,+15 15 04.21,18,1.32e-11,15.1,0,5BZCAT
144,4FGLJ0035.0-5728 ,00 35 03.43,-57 26 08.01,33.3,2.27e-12,0,0,Fermi 4LAC
