id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
495,3HSPJ052902.6+093435,,82.26067,9.57639,30.7,2.26,-11.5,3FGL J0529.1+0933,2.32,2WHSPJ052902.5+093435
497,3HSPJ053547.4-315342,,83.94737,-31.895,5.2,0.15,-12.6,,,2WHSPJ053547.2-315341
498,3HSPJ053626.9-254748,,84.11204,-25.79667,9.7,0.2,-12.8,1BIGB_J053626.8-254748,1.97,2WHSPJ053626.8-254748
500,3HSPJ053629.9-752412,,84.12438,-75.40333,23.8,0.17,-12.1,,,2WHSPJ053629.8-752411
501,3HSPJ053645.3-255841,,84.18892,-25.97806,2.7,,-12.6,1BIGB_J053645.2-255841,1.81,2WHSPJ053645.2-255841
502,3HSPJ053737.5-233700,,84.40621,-23.61667,8.6,0.11,-12.8,,,2WHSPJ053737.3-233700
503,3HSPJ053737.7-140440,,84.40696,-14.07778,10.5,0.46,-12.3,,,2WHSPJ053737.6-140440
505,3HSPJ053809.8+031556,,84.54079,3.26556,12.4,,-12.4,,,2WHSPJ053809.7+031556
507,3HSPJ053949.6-102938,,84.9565,-10.49389,11.4,,-12.1,,,2WHSPJ053949.4-102938
511,3HSPJ054449.2-193814,,86.205,-19.63722,12.8,0.22,-12.3,,,2WHSPJ054449.1-193813
512,3HSPJ054504.5+065810,,86.26867,6.96944,19.6,0.1,-12.3,,,2WHSPJ054504.3+065809
513,3HSPJ054655.0-685134,,86.73,-68.85944,14.8,0.29,-12,,,2WHSPJ054655.2-685133
515,3HSPJ054746.6-460709,,86.94413,-46.11917,17.7,0.06,-12.8,,,2WHSPJ054746.4-460709
520,3HSPJ055102.0-472429,,87.75837,-47.40806,26.6,,-12,,,2WHSPJ055101.9-472429
522,3HSPJ055411.1-275729,,88.54625,-27.95806,16.3,0.76,-12.1?,,,2WHSPJ055411.0-275729
523,3HSPJ055716.8-061706,,89.32012,-6.285,11.6,1.01,-11.4,1BIGB_J055716.7-061706,1.79,2WHSPJ055716.7-061706
524,3HSPJ055734.0-685341,,89.39292,-68.89472,34.0,0.09,-12.5,,,2WHSPJ055734.3-685340
527,3HSPJ055959.3+640958,,89.99717,64.16611,32.4,0.47,-11.9,4FGL J0559.9+6409,2.04,2WHSPJ055959.2+640957
529,3HSPJ060200.4+531600,,90.50183,53.26667,39.5,0.65,-11.3,4FGL J0602.0+5315,2.03,2WHSPJ060200.4+531600
532,3HSPJ060433.8-403754,,91.14083,-40.63167,13.8,0.18,-12.2,,,2WHSPJ060433.7-403754
533,3HSPJ060450.0+833133,,91.2085,83.52583,3.2,0.06,-12.7,,,2WHSPJ060449.9+833132
536,3HSPJ060736.0-742337,,91.90167,-74.39361,29.9,0.11,-12.6,,,2WHSPJ060736.4-742336
538,3HSPJ061104.1+682956,,92.76717,68.49889,8.8,0.1,-12.3,,,2WHSPJ061104.0+682956
540,3HSPJ061518.3-782830,,93.82621,-78.475,15.5,0.32,-12,,,2WHSPJ061518.1-782829
541,3HSPJ061610.3-173305,,94.04287,-17.55139,6.0,0.81,-12?,FL8Y J0616.1-1732,,2WHSPJ061610.1-173305
546,3HSPJ061949.6+573549,,94.95654,57.59694,2.9,0.58,-11.9,,,2WHSPJ061949.4+573548
547,3HSPJ062040.0+264331,,95.16687,26.72528,82.6,0.87,-11.5,4FGL J0620.7+2643,1.65,2WHSPJ062040.0+264331
552,3HSPJ062550.4+485806,,96.46,48.96833,6.7,0.1,-12.2,,,2WHSPJ062550.3+485805
553,3HSPJ062626.3-171046,,96.6095,-17.17944,12.1,0.58,-11.8,4FGL J0626.4-1712,2.05,2WHSPJ062626.2-171045
554,3HSPJ062636.7-425806,,96.65296,-42.96833,14.1,0.09,-12.2,4FGL J0626.4-4259,1.74,2WHSPJ062636.7-425805
