,RAJ2000,DEJ2000,Name,Type,Rmag,Bmag,Comment,R,B,z,Qpct,XName,RName,Lobe1,Lobe2
1343,0.2129061,11.2364997,SDSS J000051.09+111411.2 ,QRX ,17.16,17.99,pG ,-,-, 0.865, 99,2RXS J000051.2+111422 ,FIRST J000051.0+111411,VL0J000051.07+111411.6,
1520,0.2408254,29.710146,SDSS J000057.79+294236.4 ,QRX ,20.10,20.11,gG ,-,-, 0.760,100,2RXS J000058.1+294227 ,VL0J000057.78+294236.5,NVSS J000058.1+294237 ,2RXP J000058.5+294234
1787,0.2858889,19.2426945,TEX 2358+189             ,QRX ,20.50,21.19,j  ,1,1, 3.100,100,2SXPS J000108.5+191431,VL0J000108.62+191434.1,NVSS J000108.6+191434 ,
2071,0.3303192,19.4293773,SDSS J000119.28+192545.7 ,QRX ,19.97,20.61,gG ,-,1, 1.253, 98,2SXPS J000119.2+192541,NVSS J000119.2+192548 ,                      ,
2227,0.3534087,8.8904681,SDSS J000124.81+085325.7 ,QRX ,19.13,18.93,jG ,-,-, 1.051, 99,2RXS J000124.9+085320 ,FIRST J000124.8+085325,NVSS J000124.8+085325 ,
2318,0.3690832,-32.1450295,6QZ J000128.6-320843     ,QRX ,16.90,17.20,p+G,-,-, 0.467, 99,2RXP J000128.7-320840 ,VL0J000128.54-320841.3,2RXS J000129.7-320838 ,
2433,0.3867879,14.9355917,SDSS J000132.83+145608.0 ,QRX ,19.26,19.19,gG ,-,-, 0.399, 99,XMMSL J000133.1+145610,VL0J000132.81+145608.7,NVSS J000132.7+145609 ,2RXS J000133.1+145601
5056,0.8045319,27.6791587,SDSS J000313.08+274044.9 ,QRX ,18.43,18.58,gmG,-,-, 2.233,100,2SXPS J000312.9+274044,VL0J000313.07+274045.0,NVSS J000313.1+274045 ,
5456,0.8635237,-1.6449551,SDSS J000327.24-013841.8 ,QRX ,19.78,20.52,gG ,-,-, 1.090, 98,4XMM J000327.2-013842 ,FIRST J000327.2-013841,                      ,
6254,0.9910886,2.0124141,SDSS J000357.86+020044.6 ,QRX ,20.43,20.80,gmG,-,1, 1.111, 99,4XMM J000357.8+020045 ,VL0J000357.86+020044.6,FIRST J000357.8+020044,NVSS J000357.6+020044
6705,1.0671921,46.2549898,3EG J0004+4615           ,QRX ,20.44,20.53,jG ,n,-, 1.810, 98,2SXPS J000416.3+461515,VL0J000416.12+461517.8,NVSS J000416.0+461518 ,
6719,1.0694165,-29.0429542,6QZ J000416.6-290235     ,QRX ,18.22,18.28,pG ,-,-, 0.553,100,2SXPS J000416.6-290232,VL0J000416.64-290233.9,XMMSL J000416.3-290239,2RXS J000416.7-290241
7213,1.1485638,-47.6054443,PKS 0002-478             ,QRX ,15.88,19.28,j+G,-,-, 0.880, 96,2SXPS J000435.5-473619,SUMSS J000435.6-473620,XMMSL J000435.9-473621,
7368,1.1757889,0.0064862,FBQS J0004+0000          ,QRX ,18.94,19.20,gG ,-,-, 1.006,100,4XMM J000442.1+000022 ,FIRST J000442.1+000022,                      ,
7896,1.2681811,54.4735905,87GB 00024+5411          ,QRX ,18.11,17.83,pG ,1,1, 0.504, 92,2SXPS J000504.1+542823,VL0J000504.34+542824.9,                      ,
7973,1.2794663,-1.5458689,LBQS 0002-0149           ,QRX ,18.58,18.67,gG ,-,-, 1.711, 97,2RXS J000506.5-013305 ,FIRST J000507.0-013245,NVSS J000507.1-013246 ,
8174,1.3071337,-26.243961,1WGA J0005.2-2614        ,QRX ,19.51,20.74,pG ,-,-, 0.320, 92,2RXP J000512.9-261429 ,VL0J000513.71-261437.5,NVSS J000513.7-261437 ,
8273,1.3247241,-16.8013001,PKS 0002-170             ,QRX ,16.59,17.21,p+G,1,-, 0.780, 99,2RXS J000516.9-164759 ,VL0J000517.93-164804.1,NVSS J000517.9-164805 ,
8345,1.3342313,5.4030008,UM 18                    ,QRX ,16.56,16.82,pG ,-,-, 1.900,100,2RXP J000520.5+052413 ,FIRST J000520.2+052410,VL0J000520.19+052411.3,NVSS J000520.2+052410
8380,1.3402204,-8.8959596,SDSS J000521.65-085345.4 ,QRX ,21.53,21.81,g  ,-,-, 2.300, 99,2XMMi J000521.7-085344,FIRST J000521.6-085345,                      ,
9288,1.4882315,38.3375411,S4 0003+38               ,QRX ,17.48,19.98,pG ,-,-, 0.229, 99,2SXPS J000557.1+382014,VL0J000557.16+382015.1,NVSS J000557.1+382015 ,XMMSL J000557.2+382012
9553,1.5303993,-50.1616029,HE 0003-5026             ,QRX ,16.39,17.35,jG ,-,-, 1.074, 92,2SXPS J000607.1-500939,SUMSS J000607.0-500938,                      ,
9914,1.5838527,12.3942282,SDSS J000620.12+122339.1 ,QRX ,20.73,21.74,gG ,-,-, 1.167, 98,4XMM J000620.1+122339 ,FIRST J000620.1+122339,VL0J000620.15+122339.3,
9971,1.5941995,-0.0734486,3C 2.0                   ,QRX ,19.65,20.08,gG ,-,-, 1.037, 99,CXO J000622.6-000425  ,NVSS J000622.6-000425 ,FIRST J000622.6-000424,
9981,1.5960667,12.5980839,RGB J0006+125            ,QRX ,16.58,17.27,pG ,-,-, 0.980,100,2RXS J000622.9+123611 ,VL0J000623.08+123553.4,FIRST J000623.0+123553,NVSS J000623.0+123552
10387,1.6633516,14.3655967,SDSS J000639.20+142156.1 ,QRX ,18.28,18.66,gG ,-,-, 1.393,100,2SXPS J000639.2+142156,VL0J000639.21+142156.2,                      ,
10860,1.7397074,14.2629912,TEX 0004+139             ,QRX ,18.86,19.91,pmG,-,-, 3.200, 99,2SXPS J000657.5+141545,VL0J000657.53+141546.8,NVSS J000657.5+141546 ,
11164,1.7917413,0.8913894,UM 200                   ,QRX ,17.05,17.34,gG ,-,-, 0.316, 99,2SXPS J000709.9+005329,FIRST J000710.0+005328,4XMM J000710.0+005329 ,2RXS J000710.5+005323
11600,1.8627368,2.6869692,UM 202                   ,QRX ,17.07,17.65,gmG,-,-, 0.300, 99,2SXPS J000726.9+024114,VL0J000727.03+024113.4,FIRST J000727.0+024113,XMMSL J000727.5+024106
13714,2.216927,-0.4610906,SDSS J000852.05-002739.9 ,QRX ,20.74,20.82,gG ,1,-, 0.878, 96,2SXPS J000852.1-002742,NVSS J000851.8-002742 ,FIRST J000852.5-002742,
13900,2.2469499,25.884816,SDSS J000859.26+255305.2 ,QRX ,17.76,17.53,gG ,-,-, 0.696, 99,2SXPS J000859.1+255305,NVSS J000859.3+255304 ,VL0J000859.49+255307.8,2RXS J000859.2+255311
14333,2.3210646,6.4318791,SDSS J000917.05+062554.7 ,QRX ,19.42,19.65,gG ,-,-, 2.692,100,2SXPS J000916.9+062553,VL0J000917.04+062554.7,NVSS J000917.0+062553 ,FIRST J000917.0+062554
14951,2.4269676,12.8811294,SDSS J000942.47+125252.0 ,QRX ,20.45,20.99,gG ,-,-, 2.392, 99,4XMM J000942.5+125251 ,NVSS J000942.4+125252 ,VL0J000942.44+125253.5,
14976,2.4311174,15.2271947,SDSS J000943.47+151337.8 ,QRX ,19.76,19.95,gG ,-,-, 2.240, 99,2SXPS J000943.6+151336,VL0J000943.48+151338.0,NVSS J000943.4+151337 ,
15352,2.4944013,1.9653237,PKS 0007+016             ,QRX ,19.32,19.61,gG ,-,-, 2.973,100,XMMSL J000958.3+015759,VL0J000958.66+015755.3,FIRST J000958.6+015755,NVSS J000958.6+015755
16128,2.6157726,28.9163098,SDSS J001027.78+285458.7 ,QRX ,20.16,20.45,g  ,1,1, 0.695,100,4XMM J001027.8+285459 ,VL0J001027.78+285458.7,NVSS J001027.6+285458 ,
16157,2.6197526,20.7971629,1WGA J0010.5+2047        ,QRX ,19.37,19.42,gmG,-,-, 0.598,100,2RXP J001028.4+204750 ,VL0J001028.73+204749.8,NVSS J001028.8+204749 ,2RXS J001029.2+204744
16232,2.6309045,10.5780557,SDSS J001031.41+103440.9 ,QRX ,19.79,20.42,jmG,1,-, 1.685, 95,1WGA J0010.5+1034     ,FIRST J001031.4+103440,NVSS J001031.5+103440 ,
16283,2.6416293,17.4052107,PKS 0008+171             ,QRX ,17.01,17.80,pG ,-,-, 1.601,100,2SXPS J001033.9+172418,VL0J001033.97+172418.8,NVSS J001034.0+172418 ,2RXS J001033.5+172419
16325,2.6489254,-30.4631729,PKS 0008-307             ,QRX ,18.96,20.20,pG ,1,1, 1.189, 99,2SXPS J001035.5-302747,VL0J001035.74-302746.3,NVSS J001035.6-302746 ,SUMSS J001035.6-302747
16400,2.6619913,-0.862182,SDSS J001038.88-005143.8 ,QRX ,20.02,20.27,gG ,1,-, 1.514, 98,2SXPS J001038.5-005144,FIRST J001038.8-005145,VL0J001038.82-005145.4,NVSS J001038.8-005140
16829,2.7318835,0.9975051,SDSS J001055.65+005951.0 ,QRX ,20.99,21.58,g  ,1,-, 1.222, 99,2XMMi J001055.6+005951,VL0J001055.66+005951.3,FIRST J001055.6+005951,NVSS J001055.6+005951
17320,2.8109167,-36.3437778,1WGA J0011.2-3620        ,QRX ,     ,22.22,j  ,x,-, 2.324, 83,2RXP J001114.4-362039 ,SUMSS J001114.5-362037,VL0J001114.56-362038.5,NVSS J001114.7-362039
17334,2.8134727,14.7671698,SDSS J001115.23+144601.8 ,QRX ,19.63,22.08,gG ,-,-, 4.964, 98,4XMM J001115.2+144601 ,VL0J001115.25+144601.9,FIRST J001115.2+144601,CXOG J001115.2+144601
17719,2.8766825,0.9644108,SDSS J001130.39+005751.8 ,QRX ,20.73,21.04,gmG,-,-, 1.490,100,2XMMi J001130.3+005751,VL0J001130.40+005752.0,FIRST J001130.4+005752,2SXPS J001130.1+005753
18603,3.0225385,-0.9317206,SDSS J001205.40-005554.1 ,QRX ,21.75,22.01,g  ,-,-, 2.565, 99,2SXPS J001205.4-005556,VL0J001205.43-005554.1,FIRST J001205.4-005554,
19063,3.1000975,-10.3740423,FIRST J0012-1022         ,QRX ,16.97,17.23,gG ,-,-, 0.228, 99,2SXPS J001224.1-102227,FIRST J001224.0-102226,NVSS J001223.9-102226 ,
19338,3.1488519,2.0573492,PB 5797                  ,QRX ,17.61,17.63,gG ,-,-, 0.587,100,2SXPS J001235.6+020329,VL0J001235.72+020326.6,FIRST J001235.7+020326,2RXS J001236.6+020313
21292,3.4755538,-4.3978708,PKS 0011-046             ,QRX ,19.68,20.16,gG ,-,-, 1.076,100,2RXS J001356.0-042404 ,VL0J001354.15-042352.0,FIRST J001354.1-042352,NVSS J001354.1-042352
22376,3.6595114,-1.1305962,FBQS J0014-0107          ,QRX ,18.95,19.39,gG ,-,-, 1.800, 99,CXOG J001438.4-010750 ,FIRST J001438.2-010750,VL0J001438.30-010749.7,
22973,3.7603858,-18.2141355,PKS 0012-184             ,QRX ,19.64,20.80,pG ,1,-, 0.743, 98,2RXS J001501.8-181259 ,VL0J001502.49-181250.5,NVSS J001502.5-181249 ,
23845,3.9000903,30.8749397,B2 0012+30               ,QRX ,16.74,17.57,pG ,-,-, 1.619, 99,2RXP J001536.5+305215 ,VL0J001535.98+305229.5,                      ,
23945,3.9181767,17.430953,SDSS J001540.36+172551.4 ,QRX ,20.73,20.85,g  ,1,1, 2.150,100,2CXO J001540.3+172552 ,VL0J001540.34+172551.5,NVSS J001540.5+172553 ,4XMM J001540.3+172550
24716,4.0461989,-0.2534585,PKS 0013-00              ,QRX ,20.11,20.25,gG ,-,-, 1.575, 99,2SXPS J001611.1-001513,VL0J001611.08-001512.3,FIRST J001611.0-001512,NVSS J001610.9-001514
25212,4.137906,-5.7087948,1RXS J001633.2-054227    ,QRX ,16.49,17.12,pG ,-,-, 0.237,100,2SXPS J001632.7-054233,FIRST J001633.0-054231,2RXS J001633.2-054227 ,
25576,4.1939097,-0.8643798,SDSS J001646.54-005151.7 ,QRX ,21.10,21.27,gmG,-,-, 2.243, 99,4XMM J001646.5-005153 ,VL0J001646.54-005151.5,FIRST J001646.5-005151,
25918,4.2525815,-3.0477392,SDSS J001700.61-030251.9 ,QRX ,17.41,17.84,gG ,1,-, 1.278, 99,2RXS J001700.0-030240 ,VL0J001700.63-030251.5,FIRST J001700.6-030251,NVSS J001700.6-030252
26090,4.2853137,81.585592,S5 0014+81               ,QRX ,16.61,18.07,pG ,1,-, 3.387, 98,2RXP J001707.9+813507 ,VL0J001708.53+813507.5,NVSS J001708.5+813508 ,4XMM J001708.4+813508
26888,4.4227496,8.4654787,SDSS J001741.45+082755.7 ,QRX ,19.30,19.43,gmG,-,-, 0.678,100,2RXS J001740.8+082756 ,VL0J001741.44+082755.8,FIRST J001741.4+082755,
27155,4.4684294,-2.6053388,SDSS J001752.42-023619.2 ,QRX ,21.18,21.46,g+G,-,1, 0.723, 99,2RXS J001752.5-023622 ,VL0J001752.42-023618.9,FIRST J001752.4-023619,NVSS J001752.2-023619
27519,4.5284482,-7.9859825,SDSS J001806.83-075909.5 ,QRX ,18.92,19.11,gG ,1,1, 2.962, 99,4XMM J001806.8-075909 ,VL0J001806.85-075909.0,FIRST J001806.8-075909,NVSS J001806.7-075910
28194,4.6302184,16.3454723,TEX 0015+160             ,QRX ,     ,     ,   ,x,x, 1.333, 85,CXOG J001831.3+162042 ,VL0J001831.35+162042.6,NVSS J001831.3+162041 ,XMMX J001831.1+162043
28613,4.7013472,2.833527,SDSS J001848.32+025000.6 ,QRX ,18.94,19.34,gG ,-,-, 1.134,100,2SXPS J001848.1+024954,VL0J001848.33+025000.8,FIRST J001848.2+025000,
28932,4.7489852,6.3255476,UVQSJ001859.75+061931.9  ,QRX ,17.22,17.23,gG ,-,-, 0.767,100,2SXPS J001859.5+061932,VL0J001859.76+061932.0,FIRST J001859.7+061932,2RXS J001859.5+061944
29167,4.7869386,28.2982742,SDSS J001908.86+281753.7 ,QRX ,17.82,18.31,pG ,-,-, 0.687,100,2RXP J001908.8+281738 ,VL0J001908.85+281753.8,NVSS J001908.9+281753 ,
29214,4.795639,3.8123979,SDSS J001910.95+034844.6 ,QRX ,20.68,20.89,gG ,-,-, 2.020,100,4XMM J001910.9+034843 ,VL0J001910.93+034844.8,FIRST J001910.9+034844,NVSS J001910.9+034842
29317,4.8102799,15.9322264,ISS 35                   ,QRX ,18.16,18.25,gG ,-,-, 2.271, 99,4XMM J001914.5+155558 ,NVSS J001914.5+155604 ,                      ,
29872,4.8994224,25.1124605,SDSS J001935.85+250644.8 ,QRX ,21.05,22.36,gG ,-,-, 3.892, 96,4XMM J001935.9+250644 ,VL0J001935.85+250644.7,                      ,
30138,4.9407614,73.4583401,S5 0016+73               ,QRX ,18.11,19.63,pG ,n,n, 1.781, 89,2SXPS J001945.9+732729,VL0J001945.78+732729.7,NVSS J001945.8+732729 ,
31033,5.0934536,3.7260179,SDSS J002022.42+034333.6 ,QRX ,19.33,19.36,gG ,1,-, 2.433,100,4XMM J002022.4+034333 ,VL0J002022.42+034333.9,FIRST J002022.4+034333,NVSS J002022.8+034335
31098,5.105095,15.6818795,3C 9.0                   ,QRX ,17.44,17.66,gG ,-,-, 2.019, 99,CXOG J002025.2+154054 ,NVSS J002025.3+154052 ,VL0J002025.36+154052.7,2SXPS J002025.3+154055
31253,5.1298056,-15.1801667,1WGA J0020.5-1510        ,QRX ,20.38,19.51,jm ,-,-, 0.590, 97,2RXP J002030.8-151043 ,VL0J002031.14-151048.2,NVSS J002031.0-151049 ,
32168,5.2813947,-19.1682069,PKS 0018-19              ,QRX ,13.72,16.34,p+G,-,-, 0.096, 98,2SXPS J002107.5-191004,VL0J002107.51-191005.0,                      ,
33962,5.5681851,28.5652587,SDSS J002216.36+283354.8 ,QRX ,18.50,18.38,gG ,1,1, 0.585, 99,2RXP J002217.1+283402 ,VL0J002216.35+283354.9,NVSS J002216.6+283353 ,2RXS J002217.1+283406
34555,5.659266,1.7840057,SDSS J002238.22+014702.4 ,QRX ,19.77,20.17,gG ,-,-, 1.192,100,2SXPS J002237.9+014658,VL0J002238.21+014702.7,FIRST J002238.2+014702,NVSS J002238.2+014700
34636,5.6716075,17.9427157,SDSS J002241.18+175633.7 ,QRX ,18.96,19.15,gG ,-,-, 0.841, 95,2RXS J002241.8+175624 ,NVSS J002241.0+175634 ,                      ,
34824,5.7031082,0.2550489,SDSS J002248.74+001518.1 ,QRX ,20.26,20.57,gG ,-,1, 1.322, 99,CXOG J002248.7+001519 ,FIRST J002249.1+001519,4XMM J002248.7+001519 ,
35396,5.796919,34.669037,SDSS J002311.26+344008.5 ,QRX ,18.83,20.55,jm ,1,1, 0.508, 70,2RXS J002312.3+344013 ,NVSS J002311.2+344002 ,                      ,
35980,5.8976828,44.9432666,B3 0020+446              ,QRX ,19.12,20.16,G  ,n,n, 1.062, 97,2SXPS J002335.4+445634,VL0J002335.43+445635.6,NVSS J002335.4+445636 ,
36048,5.9090222,4.2834557,SDSS J002338.17+041700.4 ,QRX ,21.01,22.13,gG ,-,-, 1.333, 99,CXOG J002338.1+041700 ,FIRST J002338.1+041700,VL0J002338.17+041700.8,
37319,6.1256234,-29.4817917,PKS 0021-29              ,QRX ,17.08,17.67,jG ,-,-, 0.406, 99,2SXPS J002430.0-292852,NVSS J002430.1-292849 ,2RXS J002430.3-292856 ,
37712,6.191595,-4.2004268,PKS 0022-044             ,QRX ,20.54,20.40,gG ,-,-, 1.954,100,2SXPS J002446.1-041201,FIRST J002445.9-041201,VL0J002446.01-041201.0,NVSS J002445.9-041202
39437,6.4760791,8.6198339,SDSS J002554.26+083711.3 ,QRX ,18.19,18.18,gmG,-,-, 0.814,100,2SXPS J002554.1+083713,VL0J002554.25+083711.4,FIRST J002554.2+083711,2RXS J002553.6+083726
39758,6.5349014,-0.0963906,RXS J00261-0005          ,QRX ,18.01,19.87,pG ,-,-, 0.107, 98,2RXS J002608.3-000545 ,FIRST J002608.3-000546,                      ,
42251,6.9260953,45.2491871,87GB 00250+4458          ,QRX ,17.43,17.65,p+G,-,-, 0.971, 99,2RXS J002742.7+451453 ,VL0J002742.25+451457.0,NVSS J002742.3+451457 ,
42701,7.0045762,7.6575872,LAMOSTJ002801.09+073927.2,QRX ,18.62,19.00,gG ,-,-, 1.500,100,1RXH J002801.2+073929 ,VL0J002801.10+073927.2,NVSS J002800.9+073927 ,FIRST J002801.0+073927
42886,7.0362362,1.1673506,SDSS J002808.69+011002.5 ,QRX ,20.09,20.20,gmG,-,-, 1.491,100,2SXPS J002808.5+011001,VL0J002808.68+011002.6,FIRST J002808.6+011002,NVSS J002808.8+011002
42976,7.0498134,26.2109072,SDSS J002811.95+261239.2 ,QRX ,20.34,20.46,gG ,1,1, 1.730, 99,4XMM J002811.8+261238 ,VL0J002811.93+261239.3,NVSS J002812.1+261231 ,
43274,7.1009953,-29.4034174,2QZ J002824.2-292413     ,QRX ,17.89,18.55,jmG,-,-, 0.953, 93,2RXS J002824.2-292414 ,VL0J002824.21-292411.9,                      ,
43713,7.1741943,5.5513657,1WGA J0028.7+0533        ,QRX ,18.95,19.41,gG ,-,-, 1.430, 99,2RXP J002842.1+053307 ,VL0J002841.82+053305.2,FIRST J002841.8+053304,NVSS J002841.9+053303
43786,7.1867607,7.1523091,SDSS J002844.82+070908.2 ,QRX ,19.23,20.37,pG ,-,-, 1.976, 98,2SXPS J002845.1+070909,FIRST J002844.8+070908,                      ,
43925,7.2093819,26.4663556,SDSS J002850.25+262758.9 ,QRX ,18.87,18.83,gG ,-,-, 0.675,100,2RXP J002850.5+262744 ,VL0J002850.24+262758.4,NVSS J002850.2+262757 ,
44207,7.2559267,13.7943856,SDSS J002901.42+134739.8 ,QRX ,17.49,17.86,gG ,-,-, 0.997,100,2RXS J002901.0+134745 ,VL0J002901.44+134739.8,1WGA J0029.0+1347     ,
44451,7.3015081,2.4304275,SDSS J002912.35+022549.5 ,QRX ,18.46,18.29,gG ,-,-, 0.577,100,2RXS J002910.8+022602 ,VL0J002912.35+022549.7,FIRST J002912.3+022549,NVSS J002912.4+022548
45124,7.4108415,-0.2257887,SDSS J002938.60-001332.8 ,QRX ,22.12,21.91,g  ,-,-, 2.061, 95,4XMM J002938.5-001334 ,FIRST J002938.5-001334,                      ,
45308,7.4412357,5.9113072,PKS 0027+056             ,QRX ,18.94,19.56,gG ,-,-, 1.317,100,2SXPS J002945.8+055441,VL0J002945.90+055440.9,FIRST J002945.8+055440,XMMSL J002945.8+055449
45704,7.5010469,7.3818598,SDSS J003000.24+072254.7 ,QRX ,20.22,21.13,pG ,-,-, 1.650, 99,2SXPS J003000.3+072259,FIRST J003000.2+072255,NVSS J003000.2+072254 ,VL0J003000.33+072255.5
46205,7.5775583,38.0669402,B3 0027+377              ,QRX ,17.86,18.27,pG ,-,-, 1.450,100,2RXS J003018.3+380359 ,VL0J003018.58+380401.0,NVSS J003018.8+380355 ,
46311,7.5926004,7.4392454,SDSS J003022.22+072621.2 ,QRX ,21.51,21.93,g  ,-,-, 1.754, 99,2SXPS J003022.2+072622,VL0J003022.25+072621.2,FIRST J003022.1+072621,
47080,7.7276434,4.9856719,SDSS J003054.63+045908.4 ,QRX ,21.01,21.07,gG ,1,-, 2.201, 99,4XMM J003054.6+045907 ,FIRST J003054.6+045908,NVSS J003054.6+045907 ,
47921,7.8663106,0.6665758,SDSS J003127.91+003959.6 ,QRX ,21.55,21.82,g  ,1,1, 2.090, 97,CXOG J003127.8+004000 ,FIRST J003127.9+003959,VL0J003127.90+003959.9,NVSS J003127.8+004000
47926,7.8669162,-41.1377469,PKS 0029-414             ,QRX ,18.27,18.07,jG ,-,-, 0.896, 97,2RXS J003129.2-410814 ,SUMSS J003128.0-410816,                      ,
48947,8.0309608,-15.6925517,6dF J003207.4-154133     ,QRX ,16.94,17.58,pG ,-,-, 0.635,100,2RXS J003207.7-154154 ,VL0J003207.42-154132.8,NVSS J003207.4-154133 ,
49123,8.062138,8.7902312,SDSS J003214.91+084724.7 ,QRX ,18.77,19.42,pG ,-,-, 1.028,100,1WGA J0032.2+0847     ,VL0J003214.91+084724.9,FIRST J003214.9+084724,NVSS J003214.9+084727
49158,8.0711979,18.8822608,SDSS J003217.09+185256.1 ,QRX ,20.06,20.71,gG ,1,-, 0.531, 86,2RXS J003217.4+185304 ,NVSS J003217.2+185254 ,                      ,
49815,8.1862967,-21.739378,MC 0030-220              ,QRX ,19.43,20.32,pmG,-,-, 0.806,100,CXO J003244.6-214420  ,VL0J003244.69-214420.9,NVSS J003244.7-214421 ,
50108,8.2320792,39.7720096,XBS J00329+3946          ,QRX ,18.03,19.03,pG ,-,-, 1.140,100,2XMM J003255.7+394620 ,VL0J003255.68+394619.2,NVSS J003255.5+394618 ,CXOX J003255.8+394619
51688,8.4753123,-25.1958358,6dF J003354.1-251145     ,QRX ,18.11,18.47,pG ,-,1, 1.000,100,2SXPS J003353.9-251147,VL0J003354.05-251144.6,NVSS J003353.9-251147 ,2RXS J003354.5-251154
53089,8.6830058,-0.9036197,RXS J00347-0054          ,QRX ,19.51,19.45,gmG,1,-, 0.654,100,CXO J003443.8-005416  ,VL0J003443.92-005412.7,FIRST J003443.9-005413,2RXS J003443.8-005407
53329,8.71824,-44.123824,SVA1_COADD-2970682071    ,QRX ,21.91,     ,   ,n,x, 1.699, 71,4XMM J003452.1-440725 ,SUMSS J003452.6-440725,                      ,
53736,8.7752562,42.6390205,4C 42.01                 ,QRX ,17.95,18.42,pG ,-,-, 1.588, 94,4XMM J003506.0+423821 ,VL0J003505.95+423818.6,NVSS J003506.0+423818 ,
54406,8.8780635,22.4853787,SDSS J003530.73+222907.4 ,QRX ,17.82,17.86,gG ,-,-, 0.584,100,XMMSL J003530.9+222910,VL0J003530.71+222907.5,2RXS J003530.7+222913 ,
54416,8.878684,-27.4250076,1WGA J0035.5-2725        ,QRX ,18.23,18.28,pG ,-,-, 1.042,100,2XMM J003530.8-272530 ,VL0J003530.88-272529.5,NVSS J003530.5-272529 ,1WGA J0035.5-2725
55032,8.9709702,-9.1972637,RXS J00359-0912          ,QRX ,19.29,19.85,gG ,1,-, 1.004, 95,2RXS J003552.3-091204 ,VL0J003552.96-091149.3,FIRST J003552.9-091150,NVSS J003552.9-091150
55069,8.97604,-44.44853,SVA1_COADD-2970654635    ,QRX ,21.93,     ,   ,n,x, 1.200, 73,4XMM J003554.3-442653 ,SUMSS J003554.3-442656,                      ,
55093,8.9813167,15.8883356,MC 0033+156              ,QRX ,17.08,17.30,gG ,-,-, 1.164, 98,2RXS J003556.4+155331 ,VL0J003555.53+155316.6,NVSS J003555.4+155316 ,
55682,9.0695421,-43.1596101,SVA1_COADD-2970458628    ,QRX ,21.19,22.70,j+ ,-,-, 1.578, 92,CXOG J003616.7-430933 ,SUMSS J003616.8-430935,                      ,
55968,9.1124377,0.2176861,PKS 0033-000             ,QRX ,19.95,20.04,gG ,-,-, 0.561,100,2RXS J003626.9+001314 ,VL0J003627.01+001303.8,NVSS J003627.0+001303 ,FIRST J003626.8+001305
56697,9.2205673,9.0895024,SDSS J003652.93+090522.1 ,QRX ,19.93,22.40,pG ,-,-, 2.578, 99,CXOG J003652.9+090523 ,NVSS J003652.9+090521 ,FIRST J003652.8+090522,4XMM J003652.9+090521
56703,9.2219478,8.9356138,SDSS J003653.26+085608.2 ,QRX ,20.79,20.91,g  ,-,-, 2.394, 99,4XMM J003653.3+085607 ,VL0J003653.26+085608.5,                      ,
57869,9.4030209,39.6366108,5C 03.44                 ,QRX ,17.37,17.88,pG ,-,-, 1.938, 99,2RXP J003736.9+393809 ,VL0J003736.70+393811.7,NVSS J003736.7+393812 ,
59106,9.5866431,-3.4997127,TEX 0035-037             ,QRX ,17.24,17.52,gG ,-,1, 1.862, 99,2RXS J003820.5-032955 ,VL0J003820.81-032958.8,FIRST J003820.7-032958,NVSS J003820.7-032959
59225,9.6035076,41.6183367,S4 0035+41               ,QRX ,19.11,20.44,pmG,1,-, 1.353, 99,4XMM J003824.8+413706 ,VL0J003824.82+413706.0,NVSS J003824.8+413706 ,2SXPS J003824.7+413704
59600,9.6606722,-2.3461777,SDSS J003838.56-022046.2 ,QRX ,19.71,19.99,gG ,-,-, 0.985,100,CXOX J003838.5-022045 ,VL0J003838.56-022045.9,FIRST J003838.5-022046,NVSS J003838.5-022048
59605,9.6618291,23.7425221,SDSS J003838.83+234433.1 ,QRX ,19.74,19.92,gG ,-,-, 2.001,100,2SXPS J003838.7+234434,VL0J003838.78+234433.3,NVSS J003838.7+234433 ,
59759,9.6832613,3.1891361,SDSS J003843.98+031120.9 ,QRX ,20.12,21.11,gmG,-,-, 3.674,100,2SXPS J003844.0+031117,VL0J003843.97+031121.1,FIRST J003843.9+031120,NVSS J003843.9+031120
60404,9.7738235,34.5272447,LAMOSTJ003905.71+343138.0,QRX ,17.90,18.47,pG ,-,-, 0.624,100,2RXS J003905.6+343129 ,VL0J003905.69+343138.1,NVSS J003905.5+343134 ,
60583,9.7992793,23.6763525,SDSS J003911.83+234034.9 ,QRX ,19.35,19.81,gG ,-,-, 1.298, 99,2SXPS J003911.8+234033,VL0J003911.78+234035.0,                      ,
61126,9.8816148,-11.1840224,TEX 0037-114             ,QRX ,19.31,19.41,gG ,1,-, 0.553, 99,2SXPS J003931.4-111101,VL0J003931.59-111102.1,FIRST J003931.5-111102,2RXS J003932.1-111055
63508,10.2243622,33.3647461,SDSS J004053.84+332153.1 ,QRX ,19.19,20.81,jG ,-,1, 1.557,100,4XMM J004053.8+332152 ,VL0J004053.83+332153.0,NVSS J004054.1+332156 ,
63632,10.240048,-1.7755636,PKS 0038-020             ,QRX ,18.29,18.55,g+G,-,-, 1.179,100,2SXPS J004057.4-014630,VL0J004057.61-014631.6,FIRST J004057.6-014632,NVSS J004057.6-014631
64373,10.3457298,2.5364407,SDSS J004122.97+023211.1 ,QRX ,19.27,19.20,gmG,-,-, 0.772,100,2RXS J004122.9+023219 ,VL0J004122.96+023211.3,FIRST J004122.9+023211,NVSS J004123.1+023216
