,RAJ2000,DEJ2000,Name,Type,Rmag,Bmag,Comment,R,B,z,Qpct,XName,RName,Lobe1,Lobe2
720427,164.4844222,45.9314079,PSS J1057+4555           ,QRX ,17.51,19.50,gG ,-,-, 4.134,100,CXOG J105756.2+455553 ,FIRST J105756.3+455553,                      ,
720545,164.5017817,-30.415287,PKS 1055-301             ,QRX ,18.82,19.89,pG ,-,1, 2.523, 98,2SXPS J105800.5-302456,VL0J105800.42-302454.2,NVSS J105800.4-302455 ,
720879,164.5543611,49.6600159,5C 02.56                 ,QRX ,19.58,19.59,gG ,-,-, 2.398, 99,2SXPS J105813.3+493933,VL0J105813.03+493935.5,FIRST J105813.0+493935,2RXP J105812.5+493929
720891,164.5555668,42.9084702,SDSS J105813.33+425430.5 ,QRX ,18.91,18.96,gG ,-,1, 0.757, 98,1RXH J105813.1+425432 ,FIRST J105813.4+425428,NVSS J105813.2+425429 ,VL0J105813.07+425429.4
720918,164.5600201,51.3641893,SDSS J105814.39+512150.9 ,QRX ,19.59,19.86,gmG,-,-, 1.452,100,2RXP J105814.7+512152 ,VL0J105814.41+512151.1,NVSS J105814.4+512151 ,FIRST J105814.4+512150
721094,164.5886892,27.5580642,SDSS J105821.28+273329.1 ,QRX ,19.88,20.64,jG ,-,-, 1.737, 99,2SXPS J105821.1+273332,VL0J105821.31+273329.2,FIRST J105821.2+273329,NVSS J105821.2+273331
722966,164.8833536,24.4942889,SDSS J105932.00+242939.4 ,QRX ,17.98,18.05,gG ,-,-, 0.908,100,2XMM J105932.0+242939 ,VL0J105932.00+242939.5,NVSS J105931.9+242939 ,CXOG J105932.0+242939
723157,164.9126828,20.9560988,87GB 10570+2113          ,QRX ,19.10,19.60,gG ,-,-, 0.393, 99,XMMSL J105939.1+205726,VL0J105939.03+205722.0,FIRST J105939.0+205721,NVSS J105939.0+205722
723402,164.9554439,12.2069801,SDSS J105949.30+121225.1 ,QRX ,19.22,19.40,gG ,-,-, 2.868, 99,2CXO J105949.3+121223 ,VL0J105949.28+121225.2,FIRST J105949.2+121225,NVSS J105949.2+121225
723458,164.9639643,30.3048221,SDSS J105951.35+301817.4 ,QRX ,19.36,20.34,gG ,-,1, 0.889,100,CXOG J105951.3+301817 ,VL0J105951.36+301817.3,FIRST J105951.3+301817,NVSS J105951.5+301815
724204,165.0841922,9.8265795,MC 1057+100              ,QRX ,17.49,17.82,gG ,-,-, 1.320,100,4XMM J110020.2+094935 ,VL0J110020.18+094935.9,FIRST J110020.2+094935,NVSS J110020.2+094935
724281,165.0941515,7.9552361,SDSS J110022.59+075718.9 ,QRX ,20.39,20.51,gG ,-,-, 2.384, 99,4XMM J110022.7+075719 ,VL0J110022.63+075719.0,FIRST J110022.5+075719,NVSS J110022.6+075718
724420,165.1171684,7.9975637,SDSS J110028.12+075951.2 ,QRX ,21.74,22.04,g  ,-,-, 1.322, 98,4XMM J110028.0+075952 ,FIRST J110028.1+075951,                      ,
724908,165.1939748,65.238192,SDSS J110046.55+651417.5 ,QRX ,19.19,19.39,gG ,1,-, 1.789,100,2SXPS J110046.9+651415,VL0J110046.57+651417.1,                      ,
725026,165.2096558,-42.8203645,CGRaBS J1100-4249        ,QRX ,18.94,19.72,j+G,-,-, 3.560, 96,2SXPS J110050.2-424912,SUMSS J110050.2-424912,                      ,
725520,165.2844118,11.2764955,SDSS J110108.25+111635.3 ,QRX ,21.35,21.96,g  ,-,-, 2.818, 99,2XMM J110108.3+111636 ,VL0J110108.25+111635.2,FIRST J110108.2+111634,
726133,165.3790498,25.3495629,SDSS J110130.97+252058.3 ,QRX ,19.30,19.60,gG ,-,-, 1.411, 98,1WGA J1101.5+2521     ,FIRST J110130.8+252058,VL0J110130.75+252057.9,NVSS J110130.4+252058
726453,165.4343597,44.6149291,SDSS J110144.25+443653.7 ,QRX ,18.69,18.79,gG ,-,-, 0.732,100,2RXS J110143.3+443653 ,VL0J110144.24+443653.5,FIRST J110144.2+443653,
726630,165.4594354,55.7011325,SDSS J110150.26+554204.0 ,QRX ,22.55,22.20,g  ,-,-, 2.286, 98,2SXPS J110150.5+554203,VL0J110150.28+554203.8,FIRST J110150.3+554203,
727225,165.5494141,28.6780865,FBQS J1102+2840          ,QRX ,17.04,17.28,gG ,1,-, 1.742, 99,2SXPS J110212.0+284042,VL0J110211.86+284041.1,FIRST J110211.8+284041,NVSS J110211.8+284040
727284,165.5595353,27.9524141,S3 1059+282              ,QRX ,19.28,19.15,gG ,-,-, 1.868,100,2SXPS J110214.5+275704,VL0J110214.30+275708.7,NVSS J110214.2+275709 ,FIRST J110214.2+275708
727543,165.5974328,22.6557467,FBQS J1102+2239          ,QRX ,18.64,19.21,gG ,-,-, 0.453, 99,CXOG J110223.3+223920 ,FIRST J110223.3+223920,2SXPS J110223.3+223921,4XMM J110223.3+223920
728046,165.6781786,59.6887733,TEX 1059+599             ,QRX ,17.10,17.17,gG ,-,-, 1.830, 99,CXOX J110243.2+594121 ,VL0J110242.73+594119.3,FIRST J110242.7+594119,NVSS J110242.6+594119
728184,165.6978658,35.8492638,SDSS J110247.49+355057.3 ,QRX ,18.99,19.26,gG ,-,-, 1.355, 99,2XMM J110247.4+355057 ,VL0J110247.45+355057.5,                      ,
728575,165.7592799,40.7169671,SDSS J110302.22+404301.0 ,QRX ,20.65,20.73,g  ,1,1, 1.459, 99,4XMM J110302.3+404259 ,FIRST J110302.2+404301,NVSS J110302.3+404301 ,
728611,165.7647065,11.9712853,TEX 1100+122             ,QRX ,18.71,18.83,gG ,-,-, 0.913,100,2SXPS J110303.4+115815,VL0J110303.50+115816.8,FIRST J110303.5+115816,NVSS J110303.5+115816
728959,165.8192235,52.9389914,SDSS J110316.61+525620.3 ,QRX ,18.45,18.66,gmG,-,-, 1.131,100,2RXS J110316.0+525637 ,VL0J110316.59+525620.0,                      ,
729066,165.8374271,24.9334579,SDSS J110320.97+245600.4 ,QRX ,20.25,20.60,gG ,-,-, 2.244,100,2RXP J110321.2+245601 ,VL0J110320.99+245600.4,FIRST J110320.9+245600,
729175,165.8554134,-26.7543915,Q 1101-264               ,QRX ,15.68,15.98,pG ,1,1, 2.145, 92,2RXP J110325.9-264516 ,VL0J110325.22-264516.1,NVSS J110325.1-264514 ,2RXS J110323.9-264518
729443,165.8949633,11.2452772,TEX 1100+115             ,QRX ,18.21,18.50,gmG,-,-, 1.718, 99,CXO J110334.7+111444  ,VL0J110334.78+111442.5,FIRST J110334.7+111442,NVSS J110334.8+111444
730391,166.0401552,12.3659845,SDSS J110409.63+122157.4 ,QRX ,17.66,17.37,gmG,-,-, 0.593,100,XMMSL J110409.4+122159,VL0J110409.62+122157.6,FIRST J110409.6+122157,2RXS J110408.9+122201
730584,166.0697033,59.9071983,SDSS J110416.72+595425.9 ,QRX ,20.53,21.20,gmG,-,-, 1.281,100,2CXO J110416.6+595425 ,VL0J110416.70+595425.7,FIRST J110416.7+595425,NVSS J110416.7+595426
730819,166.1089151,45.0984347,SDSS J110426.14+450554.4 ,QRX ,19.38,19.41,gG ,-,-, 2.410,100,2SXPS J110425.9+450553,FIRST J110426.1+450554,                      ,
731557,166.2237283,60.6486978,87GB 11018+6055          ,QRX ,19.21,19.60,gG ,-,-, 1.366, 99,2RXP J110453.8+603855 ,VL0J110453.63+603855.2,FIRST J110453.6+603855,NVSS J110453.6+603855
731831,166.2714634,11.2614143,SDSS J110505.15+111541.0 ,QRX ,18.12,18.67,gmG,-,-, 1.725,100,CXOX J110505.1+111541 ,VL0J110505.14+111541.2,FIRST J110505.1+111540,
731842,166.2728122,25.2575688,SDSS J110505.47+251527.3 ,QRX ,19.59,19.69,gG ,-,-, 0.412,100,4XMM J110505.4+251527 ,VL0J110505.47+251527.3,FIRST J110505.4+251527,2SXPS J110505.3+251530
