id,RA,DEC,Source name,Redshift,Radio flux d.,Fermi flux,Log nu_peak,Original catalog
82,4.61575,29.791888888888888,5BZBJ0018+2947 ,0.1,33.0,3.49e-12,17.1,5BZCAT
84,4.940708333333333,73.45838888888889,5BZQJ0019+7327 ,1.781,1136.0,2.11e-11,0.0,5BZCAT
86,4.907666666666667,20.36268888888889,5BZBJ0019+2021 ,0.0,983.0,3.14e-12,0.0,5BZCAT
87,4.91575,26.047888888888888,5BZQJ0019+2602 ,0.284,683.0,0.0,0.0,5BZCAT
88,4.92775,-30.521997222222222,5BZQJ0019-3031 ,2.677,507.0,0.0,0.0,5BZCAT
89,4.83575,-81.88088888888889,5BZBJ0019-8152 ,0.0,83.0,5.91e-12,0.0,5BZCAT
91,5.3855,-25.847,5BZBJ0021-2550 ,0.0,69.0,7.01e-12,0.0,5BZCAT
92,5.426,-9.012308333333333,5BZBJ0021-0900 ,0.648,45.0,1.86e-12,0.0,5BZCAT
93,5.5275,45.426138888888886,5BZQJ0022+4525 ,1.897,345.0,0.0,0.0,5BZCAT
94,5.503958333333333,0.11610833333333334,5BZGJ0022+0006 ,0.306,2.0,1.91e-12,16.3,5BZCAT
95,5.500249999999999,-51.67338888888889,5BZBJ0022-5140 ,0.0,20.0,6.91e-12,15.7,5BZCAT
96,5.538625,-18.893,5BZBJ0022-1853 ,0.0,23.0,9.49e-12,0.0,5BZCAT
98,5.635166666666667,6.134558333333334,5BZBJ0022+0608 ,0.0,340.0,2.15e-11,0.0,5BZCAT
101,5.897666666666666,44.94327777777778,5BZUJ0023+4456 ,2.023,140.0,5.84e-12,0.0,5BZCAT
102,6.005249999999999,16.04277777777778,5BZBJ0024+1602 ,0.0,57.0,2.96e-12,0.0,5BZCAT
104,6.113791666666667,24.65738888888889,5BZQJ0024+2439 ,1.444,150.0,0.0,0.0,5BZCAT
105,6.188291666666666,3.8176694444444443,5BZQJ0024+0349 ,0.545,22.0,2.42e-12,0.0,5BZCAT
106,6.191458333333333,-4.200438888888889,5BZQJ0024-0412 ,1.946,260.0,0.0,0.0,5BZCAT
107,6.351,-22.46318888888889,5BZQJ0025-2227 ,0.834,202.0,1.48e-12,0.0,5BZCAT
110,6.648416666666667,-46.01935833333334,5BZBJ0026-4601 ,0.0,38.0,2.43e-12,16.4,5BZCAT
111,6.714249999999999,-11.214558333333333,5BZQJ0026-1112 ,1.118,169.0,0.0,0.0,5BZCAT
112,6.813999999999999,22.699527777777778,5BZQJ0027+2241 ,1.119,301.0,0.0,0.0,5BZCAT
113,6.862458333333333,26.11852777777778,5BZGJ0027+2607 ,0.36,56.0,0.0,0.0,5BZCAT
116,7.142500000000001,24.135669444444446,5BZBJ0028+2408 ,0.373,70.0,0.0,0.0,5BZCAT
117,7.1659999999999995,0.5948083333333334,5BZUJ0028+0035 ,0.687,89.0,0.0,0.0,5BZCAT
119,7.264916666666667,5.159669444444445,5BZQJ0029+0509 ,1.633,440.0,0.0,0.0,5BZCAT
120,7.173000000000001,-70.75438888888888,5BZBJ0028-7045 ,0.0,94.0,6.52e-12,0.0,5BZCAT
122,7.441208333333334,5.911358333333333,5BZQJ0029+0554 ,1.314,294.0,0.0,0.0,5BZCAT
123,7.532749999999999,-0.0019972222222222223,5BZBJ0030-0000 ,0.0,51.0,0.0,0.0,5BZCAT
125,7.572833333333333,-42.41288888888889,5BZQJ0030-4224 ,0.495,425.0,1.61e-11,0.0,5BZCAT
130,7.851333333333333,-39.38038888888889,5BZQJ0031-3922 ,1.298,137.0,0.0,0.0,5BZCAT
131,7.866791666666666,-41.13768888888889,5BZQJ0031-4108 ,0.896,353.0,0.0,0.0,5BZCAT
134,8.137500000000001,-26.82168888888889,5BZQJ0032-2649 ,1.47,135.0,0.0,0.0,5BZCAT
135,8.13775,-28.822308333333332,5BZBJ0032-2849 ,0.324,160.0,2.35e-12,0.0,5BZCAT
138,8.393166666666666,-19.35913888888889,5BZBJ0033-1921 ,0.0,19.0,3.18e-11,15.6,5BZCAT
142,8.681208333333334,27.907138888888888,5BZQJ0034+2754 ,2.964,828.0,0.0,0.0,5BZCAT
143,8.811250000000001,15.251169444444445,5BZBJ0035+1515 ,0.0,18.0,1.32e-11,15.1,5BZCAT
146,8.96925,59.83452777777778,5BZBJ0035+5950 ,0.0,147.0,4.37e-11,18.2,5BZCAT
148,9.028958333333334,-9.541558333333333,5BZQJ0036-0932 ,1.182,108.0,0.0,0.0,5BZCAT
152,9.31175,-21.756858333333334,5BZQJ0037-2145 ,2.513,161.0,0.0,0.0,5BZCAT
153,9.347999999999999,21.698138888888888,5BZBJ0037+2141 ,0.598,18.0,0.0,0.0,5BZCAT
156,9.461958333333333,12.63888888888889,5BZBJ0037+1238 ,0.0,75.0,8.18e-12,0.0,5BZCAT
157,9.535291666666668,0.22680833333333333,5BZBJ0038+0013 ,0.74,96.0,4.29e-12,0.0,5BZCAT
158,9.6035,41.61841944444444,5BZQJ0038+4137 ,1.353,692.0,0.0,0.0,5BZCAT
159,9.561333333333334,-24.983919444444446,5BZQJ0038-2459 ,0.498,413.0,3.42e-12,0.0,5BZCAT
161,9.586625,-3.4996694444444443,5BZQJ0038-0329 ,1.858,225.0,0.0,0.0,5BZCAT
162,9.62025,18.93825,5BZQJ0038+1856 ,1.193,72.0,0.0,0.0,5BZCAT
164,9.776166666666667,-9.712997222222223,5BZQJ0039-0942 ,2.102,154.0,4.64e-12,0.0,5BZCAT
166,9.8815,-11.183997222222223,5BZQJ0039-1111 ,0.552,309.0,0.0,0.0,5BZCAT
167,9.915000000000001,14.199308333333333,5BZBJ0039+1411 ,1.738,266.0,0.0,0.0,5BZCAT
168,10.0575,40.83463888888889,5BZUJ0040+4050 ,0.0,47.0,2.45e-12,17.5,5BZCAT
169,10.068333333333333,-27.31988888888889,5BZBJ0040-2719 ,0.172,160.0,0.0,0.0,5BZCAT
170,10.103708333333334,-23.666808333333332,5BZGJ0040-2340 ,0.213,53.0,2.24e-12,0.0,5BZCAT
171,10.127708333333333,-32.422247222222225,5BZBJ0040-3225 ,0.0,111.0,0.0,0.0,5BZCAT
173,10.239999999999998,-1.7755277777777778,5BZQJ0040-0146 ,1.178,573.0,0.0,0.0,5BZCAT
178,10.533708333333333,36.68693888888889,5BZBJ0042+3641 ,0.0,12.0,1.96e-12,16.3,5BZCAT
179,10.518958333333334,23.333669444444446,5BZQJ0042+2320 ,1.426,1269.0,5.07e-12,0.0,5BZCAT
182,10.5565,15.154277777777779,5BZQJ0042+1509 ,1.159,156.0,0.0,0.0,5BZCAT
183,10.505,-40.510888888888886,5BZQJ0042-4030 ,2.478,190.0,0.0,0.0,5BZCAT
184,10.684750000000001,10.16375,5BZQJ0042+1009 ,1.657,232.0,0.0,0.0,5BZCAT
188,10.844666666666667,-26.651669444444444,5BZUJ0043-2639 ,0.451,78.0,0.0,0.0,5BZCAT
189,10.88625,0.4166694444444445,5BZQJ0043+0025 ,1.128,123.0,0.0,0.0,5BZCAT
